candidate_id,gold_class,gold_family_id,phrase_complete,proposition_consistent,stance,claim_supported,notes
cand:30d9ac9bbd64d5ab,message,fam-20251210-r-1,true,true,affirmative,true,message versus unknown; a substantive policy object six offices assert in their own releases
cand:311289a785cd0135,message,fam-20251010-r-1,true,true,affirmative,false,a value claim about wages; one quote across two offices
cand:316971e97f0d6b87,unknown,fam-20250916-d-1,false,true,affirmative,false,ends on a preposition needing its object; one release text
cand:3245509f2b13153a,unknown,fam-20260123-r-1,true,false,affirmative,false,a funding-announcement connector; the supports are six different projects
cand:32600e60cd585fd8,unknown,fam-20250404-d-1,false,true,affirmative,false,"procedural versus unknown; an agency function, not the congressional process register"
cand:33d7fc4489393141,procedural,fam-20250326-r-1,false,false,affirmative,false,the companion-bill register; the supports name different bills
cand:33dc597f7685204e,unknown,fam-20250304-r-1,false,true,affirmative,false,"unknown versus message; the trailing possessive leaves the phrase incomplete, which the message test requires"
cand:343a2e9b8a3a8fec,unknown,fam-20250311-r-1,true,false,affirmative,false,a stock rhetorical tail that states no position; the supports span unrelated bills
cand:34c3da1107e8bbab,unknown,fam-20250403-d-1,false,true,affirmative,false,ends on an adjective needing its noun; one quote across the supports
cand:35f608f5b6f4ab82,nomenclature,fam-20260114-d-1,false,,affirmative,,a bill name truncated before trading act; no support set shown
cand:379d4a21c4953a9e,nomenclature,fam-20260328-r-1,true,true,affirmative,true,a bill's name; three offices named it in their own statements
cand:39d3a8462445fd98,nomenclature,fam-20251030-d-1,false,false,affirmative,false,built around the administration's name; the supports span unrelated subjects
cand:3bdeba9c7edabeeb,unknown,fam-20251029-d-1,false,true,affirmative,false,stops before the noun it modifies; one release text
cand:3c7c6ab85b446ff6,unknown,fam-20250716-d-1,false,true,affirmative,false,ends on a possessive needing its noun; one release text
cand:3c911b1aca8e22f4,procedural,fam-20250311-r-2,false,false,affirmative,false,the cosponsoring register; the supports span unrelated bills
cand:3e2b734848eeeac9,nomenclature,fam-20250618-d-1,true,true,affirmative,false,nomenclature versus message; an act's name carrying an age modifier
cand:3e5066f68f20ebcf,unknown,fam-20250723-r-1,true,false,affirmative,false,message versus unknown; a bipartisanship idiom used across unrelated bills
cand:4000400ac272b7c3,unknown,fam-20260115-d-1,false,true,affirmative,false,ends on any needing its noun; one bill announcement across the supports
cand:415e60cafca4d80b,unknown,fam-20250331-d-1,false,true,affirmative,false,fragment ending on an adverb; the support is one amicus release
cand:43ead2cf0b3cfe00,nomenclature,fam-20260115-d-2,false,true,affirmative,false,"an appropriations bill title truncated; only two supports, both the same office"
cand:4407750479a58df0,unknown,fam-20250908-d-1,false,true,affirmative,false,a statutory quotation frame ending on whenever; one shared release text
cand:455cc0b2ff69b856,procedural,fam-20250214-r-1,false,true,affirmative,false,"procedural versus unknown; a legislative action fragment, one release text across supports"
cand:4580ad3a160015ee,unknown,fam-20251209-r-1,false,true,affirmative,false,a relative clause missing its object; one quote across two offices
cand:480cf77f1081e8c1,unknown,fam-20250212-d-1,false,true,affirmative,false,fragment spanning a colon; one delegation release across the supports
cand:5060e52e9d3fbb6a,unknown,fam-20250716-d-1,true,true,affirmative,false,message versus unknown; a collective noun that states no position on its own
cand:50f87a82c0dbc7c6,nomenclature,fam-20250214-d-1,true,true,affirmative,false,"the phrase names the association, not the individual quoted"
cand:51f63acae14f1568,unknown,fam-20250409-d-1,false,true,affirmative,false,message versus unknown; the fragment stops before the noun that carries the claim
cand:5209cec35c2973ca,unknown,fam-20250509-d-1,false,true,affirmative,false,ends on an adjective needing its noun; the support is one joint letter
cand:554a1f5f2c4f43d4,nomenclature,fam-20260522-d-1,true,true,affirmative,true,a committee name; six offices wrote their own statements on the same markup
cand:569e0221da0a3dab,nomenclature,fam-20260522-r-1,true,true,affirmative,true,a committee name; six offices wrote their own statements on the same markup
cand:5762e282f4b88fa1,nomenclature,fam-20250114-r-1,true,true,affirmative,false,nomenclature versus message; the phrase names the official designation here
cand:57be9a76f6c41620,unknown,fam-20251210-r-2,false,true,affirmative,true,a title connector carrying no identifying content; six offices name the same bill
cand:59139b97c35607e3,nomenclature,fam-20251201-r-1,true,false,affirmative,false,a member's name; the supports are cosponsor lists for different bills
cand:592a6ad1db0651a7,unknown,fam-20250410-r-1,false,true,affirmative,false,fragment spanning a comma and ending on an auxiliary; one quote across the supports
cand:59615a26abd879b0,unknown,fam-20260707-d-1,false,true,affirmative,false,an agency process cut before agreements; one joint letter
cand:5a490fb544135a05,nomenclature,fam-20250501-d-1,false,false,affirmative,false,public officials' names in a signer list; the supports are different letters
cand:5a59ae4042954656,unknown,fam-20251121-d-1,false,false,affirmative,false,an infinitive missing its complement; the supports split across health care and food
cand:5aa74a6adc271706,unknown,fam-20251017-d-1,false,true,affirmative,false,a clause fragment headed by that; one joint letter
cand:5b1a3a6535e24275,unknown,fam-20260709-d-1,false,false,affirmative,false,ends on a verb needing its complement; the supports are unrelated subjects
cand:5cacd84b2f54f480,unknown,fam-20250717-d-1,false,true,affirmative,false,ends on and; one quote reused across the supports
cand:5cfca447071533e5,unknown,fam-20250903-d-1,false,true,affirmative,false,fragment spanning a semicolon in a request list; one joint letter
cand:5e964225afc63299,nomenclature,fam-20250114-d-1,false,false,affirmative,false,committee name fragment; the supports are separate appointments sharing only the string
cand:6100b3a699a5e263,unknown,fam-20250514-r-1,false,true,affirmative,false,ends on that needing its clause; one release text
cand:643fee3173af6fb8,unknown,fam-20260514-d-1,false,true,affirmative,false,fragment spanning a comma and ending on to; one release text
cand:6675e7969ae6490b,unknown,fam-20260625-r-1,false,false,affirmative,false,a truncated fragment; the two supports are unrelated subjects
cand:669c36a3da6507d3,unknown,fam-20260430-r-1,true,true,affirmative,false,names two groups without stating a position; one release text across two offices
cand:68149a85a33781e3,procedural,fam-20250225-r-1,false,false,affirmative,false,the companion-bill register; the supports are six different bills
cand:6885c5e193e70a04,nomenclature,fam-20251107-d-1,true,true,affirmative,false,a unit name; the support is one delegation statement
cand:6b383d5cfd9e0059,biographical,fam-20250404-d-1,false,true,affirmative,false,career history of the program administrator; the support is one joint letter
cand:6c89322072aaa5f9,unknown,fam-20250227-d-1,false,false,affirmative,false,a bare figure; one support attaches it to an unrelated school plan
cand:6df16f39ca714500,nomenclature,fam-20251030-d-1,false,false,affirmative,false,built around the administration's name; the supports span unrelated subjects
cand:6ed31d0d6378a12a,nomenclature,fam-20260612-d-1,true,false,affirmative,false,a public official's title and name; the supports are three different letters
cand:70a62db4553553a7,unknown,fam-20260407-d-1,false,true,affirmative,false,fragment spanning a dash; one joint statement
cand:70e94f8d553c9b1c,unknown,fam-20250207-d-1,false,true,affirmative,false,ends on an adjective needing its noun; the support is one joint letter
cand:7129e55abc0db242,nomenclature,fam-20250422-d-2,false,true,affirmative,false,"named in a government role, so not private; the support is one cosigned letter"
cand:7188685b0c0c3743,unknown,fam-20250909-d-1,false,true,affirmative,false,"message versus unknown; a characterization, but the fragment lacks its subject and dangles"
cand:769622512bccace7,unknown,fam-20250415-d-1,false,false,affirmative,false,ends on a preposition needing its object; the supports are unrelated bills
cand:78bd82119c9c15d2,procedural,fam-20250718-r-1,true,false,affirmative,false,a reporting requirement; the two supports are different provisions
cand:79f80ae8328eba4d,message,fam-20260407-d-1,true,true,affirmative,false,the guide's reverse test: not one person's biography but a claim about origin; one joint statement
cand:7ce4c5b3f55e33be,unknown,fam-20251030-d-2,false,true,affirmative,false,a relative clause stopping before its noun; one letter text
cand:7d10eb9a68a74efb,message,fam-20251204-r-1,true,true,affirmative,false,a substantive historical claim; the support is one joint release
cand:7de53e514fef8f38,unknown,fam-20260514-d-2,false,false,affirmative,false,a body reference ending on and; the supports span unrelated bills
cand:7e92251ec0f6d8d9,unknown,fam-20250123-d-1,false,true,negated,false,"the phrase is the opponents' position, stated in order to reject it"
cand:7f486fab698c25d3,nomenclature,fam-20250724-r-1,false,true,affirmative,false,a truncated office title; only two offices shown
cand:7f98bdddec53672d,unknown,fam-20250116-r-1,false,false,affirmative,false,
cand:802cc5584f87a238,unknown,fam-20260304-d-1,false,true,affirmative,false,stops mid-name of the department; one joint letter
cand:834267ade8c92201,nomenclature,fam-20260423-r-1,false,true,affirmative,false,an organization's name and acronym; one release text across two offices
cand:877e3ff87130baa3,procedural,fam-20250919-d-1,false,false,affirmative,false,the joining and introducing register; the supports are six unrelated measures
cand:87cc749fbf4653d3,nomenclature,fam-20251121-d-2,false,true,affirmative,false,a place name truncated before lodge; one letter announcement
cand:87fc93297dba2363,nomenclature,fam-20251023-d-1,true,false,affirmative,false,a senator's name and designation; the supports are different cosponsor and signer lists
cand:88f11a2cf409f06f,unknown,fam-20251117-d-1,false,true,affirmative,false,ends on to needing its verb; one joint letter
cand:8997fc9e0205610a,unknown,fam-20250723-d-1,false,false,affirmative,false,scaffolding ending on a transitive verb; the supports are six different bills
cand:8a8490c1cb04e798,biographical,fam-20250428-d-1,false,true,affirmative,true,a career event; three offices wrote their own statements on the same announcement
cand:8aa7bc9c876f5caf,nomenclature,fam-20250904-d-1,true,false,affirmative,false,an agency name; the supports reference it across unrelated subjects
cand:8c7f699e6cbd2d72,nomenclature,fam-20250903-d-1,false,true,affirmative,false,nomenclature versus unknown; the phrase is built around the administration's name
cand:8d145f358c93121a,unknown,fam-20251017-d-2,false,true,affirmative,false,stops before the noun that carries the idiom; one quote across two offices
cand:8e51257a43dd9f64,unknown,fam-20260108-d-1,false,true,affirmative,false,ends on a preposition needing its object; one shared bullet text
cand:8ecaffbf9bcf0d6a,unknown,fam-20260318-d-1,false,true,affirmative,false,fragment spanning a comma; one quote reused
cand:8ffcadb485e8f3c3,unknown,fam-20260428-r-1,false,false,affirmative,false,ends on to needing its verb; the supports are unrelated subjects
cand:90553dd64e755763,unknown,fam-20251217-d-1,false,false,affirmative,false,ends on a transitive verb; the two supports name different provisions
cand:930b063a8e019026,unknown,fam-20250328-d-1,false,true,affirmative,false,ends on a preposition needing its object; the support is one cosigned letter
cand:93494a2a3a7110e0,unknown,fam-20251117-d-1,false,true,affirmative,false,opens on of and ends on a participle; one joint letter
cand:94ac254a9c86d809,unknown,fam-20250703-d-1,false,true,affirmative,true,a bare figure ending on a preposition; three offices wrote their own versions of the same claim
cand:959df03197477b12,unknown,fam-20260212-d-1,false,true,affirmative,false,fragment running a heading into a bullet; one shared agenda text
cand:9708b1b6f6026a27,unknown,fam-20250425-d-1,false,true,affirmative,false,ends on where needing its clause; the support is one joint letter
cand:9780403db6a84cbb,nomenclature,fam-20250513-d-1,false,true,affirmative,false,senators' names from one cosponsor list
cand:98b6233e64f92c6c,procedural,fam-20250415-d-2,false,false,affirmative,false,the joining-a-letter register; the supports are three different letters
cand:9a14217bcf68e160,unknown,fam-20250514-r-2,false,false,affirmative,false,fragment across an attribution; the two supports are unrelated subjects
cand:9cd0ae46c674f8c2,unknown,fam-20251121-d-3,false,true,affirmative,false,ends on and; one joint letter
cand:9e51f8a55fac9d97,unknown,fam-20260622-r-1,true,false,affirmative,false,message versus unknown; a policy domain named without characterization; supports name different bills
cand:9efb983ac26a3207,nomenclature,fam-20250325-r-1,false,false,affirmative,false,a public official's name and role; the supports are unrelated subjects
cand:a00f4dcddcc92e9f,nomenclature,fam-20250916-d-1,false,true,affirmative,false,an organization name cut out of an endorsement list; one release text
cand:a1ce0a00127804f0,unknown,fam-20250206-d-1,false,true,mixed,true,the member quotes the nominee and condemns it in the same passage
cand:a21fea4843547680,unknown,fam-20250429-r-1,true,true,affirmative,true,"unknown versus message; the phrase names a period, and the supports mark the same 100-day event"
cand:a395d5b8d8737b5b,nomenclature,fam-20260312-d-1,true,true,affirmative,true,a program name; several offices wrote their own releases on the same housing measure
cand:a40b915d427f1183,unknown,fam-20250207-d-2,true,false,affirmative,false,"a pointer to where a document can be read, and the supports point to different letters"
cand:a599505ed3b2b464,unknown,fam-20260428-d-1,false,true,affirmative,false,ends on and; one joint announcement
cand:a5fb8efc95520187,unknown,fam-20250508-r-1,false,false,affirmative,false,"names the country as a location, like the guide's house of representatives example"
cand:a79da851801a089c,unknown,fam-20260625-d-1,false,true,affirmative,false,ends on all needing its noun; one release text
cand:a9e18a99391657ac,nomenclature,fam-20250828-d-1,false,true,affirmative,false,a research center and a county name; the support is one delegation letter
cand:ab70b1a1c965270a,nomenclature,fam-20260605-d-1,true,true,affirmative,true,a bill's acronym name; five offices wrote their own statements on the same bill
cand:ab746d3f82031f79,unknown,fam-20260519-d-1,false,true,affirmative,false,lacks its subject and stops before its noun; one quote reused
cand:ac6692f6c718a9a0,unknown,fam-20251211-r-1,false,false,affirmative,false,ends on a preposition needing its object; the supports are unrelated subjects
cand:ac96838264dbf3e8,unknown,fam-20251113-d-1,false,true,affirmative,false,fragment across a clause boundary; one quote reused
cand:acf1c78b104b4098,unknown,fam-20251003-d-1,false,true,affirmative,false,ends on an adjective needing its noun; the support collapses to one release plus one
cand:ad08f191091faf55,unknown,fam-20251009-r-1,false,true,affirmative,false,ends on a participle needing its noun; the support is one cosigned letter
cand:ae54b66813703af0,nomenclature,fam-20260522-r-1,true,true,affirmative,true,a committee name; six offices wrote their own statements on the same markup
cand:aeef11359829d7a2,unknown,fam-20250116-d-1,false,true,affirmative,false,scaffolding fragment; the three supports are one release text
cand:af293cac5b2cd004,unknown,fam-20250128-d-1,true,true,affirmative,false,message versus unknown; a topical noun phrase that states no position
cand:b0f79808571bcf5f,nomenclature,fam-20260605-d-1,false,true,affirmative,true,the bill's name with a dangling including; three members each claim provisions in it
cand:b148277f1e63cecf,unknown,fam-20260701-d-1,false,true,affirmative,false,cut before people; one letter text
cand:b2d8c2ace3f40158,nomenclature,fam-20250120-r-1,false,true,affirmative,true,"a public official's name, so nomenclature rather than private or message"
cand:b35f7746c6f97003,nomenclature,fam-20251007-r-2,true,false,affirmative,false,a committee name; the supports reference it across unrelated subjects
cand:b3e343f5a2da422d,unknown,fam-20250411-d-1,false,true,affirmative,false,ends mid-compound; the support is one joint letter
cand:b6d27013754f7ea7,nomenclature,fam-20260612-d-1,false,false,affirmative,false,the same title truncated before the surname; the supports are three different letters
cand:b83d247ec13751fe,message,fam-20260407-d-2,true,true,affirmative,false,procedural versus message; a demand rather than a description of process; one joint statement
cand:b95db0f14bb47c43,unknown,fam-20260227-d-1,false,true,affirmative,false,stops before communities; one quote across two offices
cand:b97f81778e4e988a,unknown,fam-20260114-r-1,false,true,affirmative,true,a bare figure; three offices wrote their own bullets on the same appropriation
cand:b9ce50c87404b2d7,unknown,fam-20251204-r-2,false,true,affirmative,false,ends on a preposition needing its object; one bill release text
cand:ba818f1aff952c48,unknown,fam-20251219-d-1,false,false,affirmative,false,a demand fragment cut mid-name; one support is a different letter
cand:bbbff23380becf85,unknown,fam-20250403-d-2,false,false,affirmative,false,a bill-name tail plus a dangling infinitive; the supports name three different acts
cand:bc0b4225e29a82d0,unknown,fam-20250903-d-1,false,true,affirmative,false,a data-category fragment naming no individual; one joint letter
cand:be19cbb66af997e4,unknown,fam-20251204-d-1,true,true,affirmative,false,message versus unknown; an aspirational noun phrase that states no position
cand:be3a9d3fc64f3794,nomenclature,fam-20251219-d-1,true,true,affirmative,false,an act's name; one letter text across two offices
cand:be83fcef58da0761,unknown,fam-20260630-r-1,false,true,affirmative,false,"cut before States, so incomplete; the phrase names the group, so the stance is affirmative; two offices"
cand:bf414a056bb39dff,unknown,fam-20250522-d-1,false,true,affirmative,true,ends on a transitive verb needing its object; three offices wrote their own estimates for the same bill
cand:c078b96e4fed0ab2,message,fam-20250206-d-2,true,true,affirmative,false,a demand addressed to the watchdogs; the support is one cosigned letter
cand:c4be522cc99fd679,unknown,fam-20250328-d-1,false,true,affirmative,false,procedural versus unknown; a reference to student-senate documents inside a narrative
cand:c5dd919b780d6c96,unknown,fam-20260113-d-1,false,true,affirmative,false,a fragment stopping mid-enumeration; one release text
cand:ca5921d6be6b4fb5,procedural,fam-20250515-d-1,true,false,affirmative,false,the bill-introduction register; the supports are three different bills
cand:cab128485f70159b,message,fam-20250213-d-1,true,true,affirmative,false,message versus unknown; the phrase is what the member says the cut would dismantle
cand:cb52fbc68852cd85,unknown,fam-20260106-d-1,false,true,affirmative,false,fragment running from the quote into the attribution; one letter quote
cand:cc970ba865485dbf,nomenclature,fam-20260305-r-1,false,true,affirmative,false,a statute's name inside a resolution title; only two offices shown
cand:ccf4b255074957b3,nomenclature,fam-20250403-r-1,true,true,affirmative,false,a sitting member's title and name; only two offices shown
cand:cded3e5df67f99ac,unknown,fam-20250919-d-2,false,true,affirmative,false,fragment spanning a header into a quote; one delegation statement
cand:ce33588600a694ad,unknown,fam-20260115-d-1,false,true,affirmative,false,"the phrase splices an object into a new subject, so it does not carry the sentence's meaning alone"
cand:d07055061d0b6387,unknown,fam-20260604-d-1,false,true,affirmative,false,"a demand cut before its object, so the message test's completeness rule fails; support collapses to two"
cand:d3b3912e9a7af42a,unknown,fam-20250910-d-1,true,false,affirmative,false,a generic collective noun phrase; the supports span unrelated subjects
cand:d5e2952b30fda124,message,fam-20250103-r-1,true,true,affirmative,true,
cand:d7b9995f4db771e2,unknown,fam-20251120-d-2,false,false,affirmative,false,a connective fragment; the supports are unrelated subjects
cand:d7dc706cc31bd2c6,nomenclature,fam-20251023-d-1,true,false,affirmative,false,a senator's name and designation; the supports are different letters
cand:d9e614903c379d31,unknown,fam-20251121-d-2,false,true,affirmative,false,opens on that and stops before its noun; one letter quote
cand:dac27a68be3d16bd,unknown,fam-20250227-d-1,false,true,affirmative,false,fragment cut across a country name; one release text across the supports
cand:daf1ef20b4c3c582,unknown,fam-20250919-d-3,false,true,affirmative,false,ends on a preposition needing its object; one quote reused
cand:db0ed05a716dfd1a,unknown,fam-20260630-d-2,false,true,affirmative,true,"the birthright principle but cut before States, so the message test's completeness rule fails"
cand:db2bf01cdb896ff0,unknown,fam-20251114-r-1,true,true,affirmative,false,message versus unknown; a noun phrase that states no position; one joint letter
cand:dc9be5de9c9a423f,nomenclature,fam-20250610-d-1,true,true,affirmative,false,a governor's name and title; the support collapses to one letter plus one own statement
cand:de8913698557f172,unknown,fam-20250220-r-1,true,true,affirmative,false,a pointer to where a document can be read; the supports are one cosigned letter
cand:df7e0e72d25f5b17,unknown,fam-20250212-d-2,false,true,affirmative,false,ends on an adjective needing its noun; one bill release text across the supports
cand:e1c14316be449eae,biographical,fam-20250103-r-2,true,true,affirmative,false,"support is one oath-of-office template reused by six offices, so it counts as one document"
cand:e274ec85fd222303,unknown,fam-20260608-d-1,false,true,affirmative,false,a relative clause stopping before its complement; one joint letter
cand:e2b2d940d32f10ab,message,fam-20251117-d-1,true,true,affirmative,false,message versus unknown; the phrase characterizes the policy as a dramatic cut
cand:e2f31ec5de34ebb3,message,fam-20260630-d-3,true,true,affirmative,true,the guide's reverse test: this states the birthright citizenship principle; six offices assert it
cand:e6b3c95d2a78377a,unknown,fam-20250915-d-1,true,true,affirmative,false,message versus unknown; names a group without stating a position; one quote reused
cand:e786b8da87f6e839,unknown,fam-20250402-r-1,false,true,affirmative,false,ends on to needing its verb; the support is one delegation release
cand:e805d0c80f614fc7,message,fam-20250325-d-2,true,true,affirmative,false,a demand for accountability; only two offices shown
cand:ea09d50c004cd16c,procedural,fam-20260113-d-1,false,true,affirmative,false,procedural versus unknown; authorizing and appropriating is the legislative act register
cand:ecf17bd605c97467,unknown,fam-20260228-d-1,true,true,affirmative,true,names a region as the location of an action; six offices assert the same opposition
cand:ed9d81208c1c8d2d,unknown,fam-20250926-d-1,false,true,affirmative,false,fragment spanning a comma; one joint letter
cand:edcc89dbc9a13f2f,unknown,fam-20260127-r-1,false,true,affirmative,false,"stops on is not; the member owns the claim, so the stance is affirmative; one quote reused"
cand:ef34a3359996a877,unknown,fam-20251021-r-1,false,true,affirmative,false,fragment spanning a dash; one joint letter across the supports
cand:efdcce5b31ae16a4,unknown,fam-20260305-d-2,true,true,affirmative,false,"nomenclature versus unknown; a regional location descriptor, not the village's own name; one joint letter"
cand:f0e460e2c249bec1,unknown,fam-20260305-d-3,false,true,affirmative,true,ends on and; five offices assert the same point in their own statements
cand:f165b264d67a77b7,unknown,fam-20260602-d-1,false,true,affirmative,false,stops before its noun; one bill summary across the supports
cand:f317f70842e2e489,unknown,fam-20260618-d-1,false,true,affirmative,false,ends on a preposition needing its object; one quote reused
cand:f42308e72b2e908e,message,fam-20250731-r-1,true,,negated,,the member states the phrase in order to reject others' suggestion of it; no support set shown
cand:f46dd20b25b446bb,unknown,fam-20250124-r-1,false,true,affirmative,false,fragment across two constructions; the three supports are one release text
cand:f6461621a6d124b7,private,fam-20260709-d-2,true,,affirmative,,"the item carries a private-individual label, so rule 1 applies and stops the ladder; no support set shown"
cand:f699598058f21f94,unknown,fam-20260122-r-1,false,true,affirmative,false,ends on of; only two offices shown
cand:fab948d47f078820,procedural,fam-20250716-r-1,false,true,affirmative,false,the joining register; only two offices shown
cand:fb8e663ee79679fd,unknown,fam-20250918-r-1,false,true,negated,false,the phrase sits inside a denial; one quote reused across the supports
cand:fcb309e6de9d346a,unknown,fam-20250718-d-1,false,true,affirmative,false,ends on a preposition needing its object; one shared bullet text
cand:fd6cbf88b53c42e6,nomenclature,fam-20250205-r-1,false,false,affirmative,false,"nomenclature versus unknown; the substantive part is the administration's name, and the supports are unrelated subjects"
